Syntenic _gene,genome
Zm00001d001928,B73
Zm00001d001929,B73
Zm00001d001929,B73
Zm00001d001931,B73
Zm00001d001932,B73
Zm00001d001933,B73
Zm00001d001934,B73
Zm00001d001935,B73
Zm00001d001936,B73
Zm00001d001937,B73
Zm00001d001939,B73
Zm00001d001940,B73
Zm00001d001945,B73
Zm00001d001946,B73
Zm00001d001947,B73
Zm00001d001948,B73
Zm00001d001949,B73
Zm00001d001951,B73
Zm00001d001952,B73
Zm00001d001953,B73
Zm00001d001959,B73
Zm00001d001960,B73
Zm00001d001961,B73
Zm00001d001962,B73
Zm00001d001966,B73
Zm00001d001967,B73
Zm00001d001968,B73
Zm00001d001970,B73
Zm00001d001972,B73
Zm00001d001973,B73
Zm00001d001974,B73
Zm00001d001976,B73
Zm00001d001977,B73
Zm00001d001978,B73
Zm00001d001979,B73
Zm00001d001980,B73
Zm00001d001982,B73
Zm00001d001983,B73
Zm00001d001984,B73
Zm00001d001987,B73
Zm00001d001988,B73
Zm00001d001989,B73
Zm00001d001990,B73
Zm00001d001993,B73
Zm00001d001994,B73
Zm00001d001995,B73
Zm00001d001996,B73
Zm00001d001997,B73
Zm00001d001999,B73
Zm00001d002000,B73
Zm00001d002001,B73
Zm00001d002003,B73
Zm00001d002004,B73
Zm00001d002005,B73
Zm00001d002006,B73
Zm00001d002011,B73
Zm00001d002012,B73
Zm00001d002013,B73
Zm00001d002018,B73
Zm00001d002020,B73
Zm00001d002021,B73
Zm00001d002022,B73
Zm00001d002024,B73
Zm00001d002025,B73
Zm00001d002026,B73
Zm00001d002027,B73
Zm00001d002028,B73
Zm00001d002029,B73
Zm00001d002034,B73
Zm00001d002035,B73
Zm00001d002036,B73
Zm00001d002037,B73
Zm00001d002038,B73
Zm00001d002039,B73
Zm00001d002042,B73
Zm00001d002046,B73
Zm00001d002051,B73
Zm00001d002052,B73
Zm00001d002053,B73
Zm00001d002054,B73
Zm00001d002056,B73
Zm00001d002057,B73
Zm00001d002058,B73
Zm00001d002063,B73
Zm00001d002064,B73
Zm00001d002065,B73
Zm00001d002066,B73
Zm00001d002068,B73
Zm00001d002071,B73
Zm00001d002072,B73
Zm00001d002075,B73
Zm00001d002079,B73
Zm00001d002080,B73
Zm00001d002082,B73
Zm00001d002083,B73
Zm00001d002084,B73
Zm00001d002085,B73
Zm00001d002086,B73
Zm00001d002087,B73
Zm00001d002088,B73
Zm00001d002089,B73
Zm00001d002090,B73
Zm00001d002091,B73
Zm00001d002094,B73
Zm00001d002095,B73
Zm00001d002096,B73
Zm00001d002098,B73
Zm00001d002099,B73
Zm00001d002100,B73
Zm00001d002103,B73
Zm00001d002104,B73
Zm00001d002105,B73
Zm00001d002115,B73
Zm00001d002119,B73
Zm00001d002121,B73
Zm00001d002122,B73
Zm00001d002123,B73
Zm00001d002124,B73
Zm00001d002125,B73
Zm00001d002126,B73
Zm00001d002127,B73
Zm00001d002128,B73
Zm00001d002129,B73
Zm00001d002130,B73
Zm00001d002131,B73
Zm00001d002135,B73
Zm00001d002136,B73
Zm00001d002137,B73
Zm00001d002138,B73
Zm00001d002139,B73
Zm00001d002140,B73
Zm00001d002141,B73
Zm00001d002141,B73
Zm00001d002143,B73
Zm00001d002144,B73
Zm00001d002145,B73
Zm00001d002146,B73
Zm00001d002147,B73
Zm00001d002148,B73
Zm00001d002149,B73
Zm00001d002150,B73
Zm00001d002153,B73
Zm00001d002154,B73
Zm00001d002155,B73
Zm00001d002156,B73
Zm00001d002157,B73
Zm00001d002161,B73
Zm00001d002163,B73
Zm00001d002168,B73
Zm00001d002179,B73
Zm00001d002184,B73
Zm00001d002185,B73
Zm00001d002186,B73
Zm00001d002190,B73
Zm00001d002191,B73
Zm00001d002193,B73
Zm00001d002199,B73
Zm00001d002200,B73
Zm00001d002208,B73
Zm00001d002215,B73
Zm00001d002216,B73
Zm00001d002220,B73
Zm00001d002234,B73
Zm00001d002235,B73
Zm00001d002241,B73
Zm00001d002243,B73
Zm00001d002244,B73
Zm00001d002246,B73
Zm00001d002247,B73
Zm00001d002250,B73
Zm00001d002250,B73
Zm00001d002252,B73
Zm00001d002253,B73
Zm00001d002255,B73
Zm00001d002256,B73
Zm00001d002257,B73
Zm00001d002258,B73
Zm00001d002259,B73
Zm00001d002260,B73
Zm00001d002261,B73
Zm00001d002266,B73
Zm00001d002267,B73
Zm00001d002271,B73
Zm00001d002272,B73
Zm00001d002274,B73
Zm00001d002275,B73
Zm00001d002277,B73
Zm00001d002278,B73
Zm00001d002279,B73
Zm00001d002282,B73
Zm00001d002284,B73
Zm00001d002285,B73
Zm00001d002286,B73
Zm00001d002287,B73
Zm00001d002288,B73
Zm00001d002292,B73
Zm00001d002295,B73
Zm00001d002296,B73
Zm00001d002301,B73
Zm00001d002302,B73
Zm00001d002302,B73
Zm00001d002313,B73
Zm00001d002314,B73
Zm00001d002315,B73
Zm00001d002316,B73
Zm00001d002317,B73
Zm00001d002317,B73
Zm00001d002318,B73
Zm00001d002319,B73
Zm00001d002323,B73
Zm00001d002325,B73
Zm00001d002326,B73
Zm00001d002330,B73
Zm00001d002332,B73
Zm00001d002332,B73
Zm00001d002333,B73
Zm00001d002334,B73
Zm00001d002338,B73
Zm00001d002339,B73
Zm00001d002340,B73
Zm00001d002341,B73
Zm00001d002342,B73
Zm00001d002343,B73
Zm00001d002344,B73
Zm00001d002345,B73
Zm00001d002346,B73
Zm00001d002347,B73
Zm00001d002348,B73
Zm00001d002350,B73
Zm00001d002352,B73
Zm00001d002353,B73
Zm00001d002357,B73
Zm00001d002358,B73
Zm00001d002359,B73
Zm00001d002360,B73
Zm00001d002362,B73
Zm00001d002364,B73
Zm00001d002366,B73
Zm00001d002369,B73
Zm00001d002370,B73
Zm00001d002371,B73
Zm00001d002372,B73
Zm00001d002373,B73
Zm00001d002374,B73
Zm00001d002377,B73
Zm00001d002378,B73
Zm00001d002382,B73
Zm00001d002384,B73
Zm00001d002385,B73
Zm00001d002386,B73
Zm00001d002387,B73
Zm00001d002388,B73
Zm00001d002391,B73
Zm00001d002393,B73
Zm00001d002394,B73
Zm00001d002395,B73
Zm00001d002396,B73
Zm00001d002402,B73
Zm00001d002403,B73
Zm00001d002405,B73
Zm00001d002406,B73
Zm00001d002409,B73
Zm00001d002410,B73
Zm00001d002412,B73
Zm00001d002413,B73
Zm00001d002415,B73
Zm00001d002416,B73
Zm00001d002418,B73
Zm00001d002419,B73
Zm00001d002420,B73
Zm00001d002421,B73
Zm00001d002422,B73
Zm00001d002423,B73
Zm00001d002424,B73
Zm00001d002425,B73
Zm00001d002426,B73
Zm00001d002427,B73
Zm00001d002428,B73
Zm00001d002429,B73
Zm00001d002430,B73
Zm00001d002432,B73
Zm00001d002433,B73
Zm00001d002436,B73
Zm00001d002437,B73
Zm00001d002439,B73
Zm00001d002440,B73
Zm00001d002441,B73
Zm00001d002444,B73
Zm00001d002447,B73
Zm00001d002449,B73
Zm00001d002450,B73
Zm00001d002451,B73
Zm00001d002452,B73
Zm00001d002454,B73
Zm00001d002455,B73
Zm00001d002456,B73
Zm00001d002457,B73
Zm00001d002474,B73
Zm00001d002475,B73
Zm00001d002476,B73
Zm00001d002477,B73
Zm00001d002478,B73
Zm00001d002479,B73
Zm00001d002483,B73
Zm00001d002485,B73
Zm00001d002488,B73
Zm00001d002489,B73
Zm00001d002490,B73
Zm00001d002491,B73
Zm00001d002492,B73
Zm00001d002494,B73
Zm00001d002495,B73
Zm00001d002496,B73
Zm00001d002498,B73
Zm00001d002499,B73
Zm00001d002500,B73
Zm00001d002501,B73
Zm00001d002503,B73
Zm00001d002504,B73
Zm00001d002505,B73
Zm00001d002510,B73
Zm00001d002512,B73
Zm00001d002514,B73
Zm00001d002515,B73
Zm00001d002517,B73
Zm00001d002519,B73
Zm00001d002521,B73
Zm00001d002522,B73
Zm00001d002530,B73
Zm00001d002531,B73
Zm00001d002532,B73
Zm00001d002534,B73
Zm00001d002535,B73
Zm00001d002536,B73
Zm00001d002537,B73
Zm00001d002538,B73
Zm00001d002539,B73
Zm00001d002540,B73
Zm00001d002541,B73
Zm00001d002542,B73
Zm00001d002545,B73
Zm00001d002546,B73
Zm00001d002548,B73
Zm00001d002549,B73
Zm00001d002550,B73
Zm00001d002553,B73
Zm00001d002556,B73
Zm00001d002557,B73
Zm00001d002558,B73
Zm00001d002562,B73
Zm00001d002564,B73
Zm00001d002565,B73
Zm00001d002568,B73
Zm00001d002569,B73
Zm00001d002570,B73
Zm00001d002573,B73
Zm00001d002576,B73
Zm00001d002579,B73
Zm00001d002580,B73
Zm00001d002584,B73
Zm00001d002589,B73
Zm00001d002590,B73
Zm00001d002591,B73
Zm00001d002592,B73
Zm00001d002593,B73
Zm00001d002594,B73
Zm00001d002595,B73
Zm00001d002596,B73
Zm00001d002597,B73
Zm00001d002598,B73
Zm00001d002599,B73
Zm00001d002600,B73
Zm00001d002601,B73
Zm00001d002602,B73
Zm00001d002603,B73
Zm00001d002607,B73
Zm00001d002609,B73
Zm00001d002610,B73
Zm00001d002611,B73
Zm00001d002613,B73
Zm00001d002614,B73
Zm00001d002615,B73
Zm00001d002616,B73
Zm00001d002617,B73
Zm00001d002618,B73
Zm00001d002620,B73
Zm00001d002621,B73
Zm00001d002623,B73
Zm00001d002624,B73
Zm00001d002624,B73
Zm00001d002626,B73
Zm00001d002629,B73
Zm00001d002630,B73
Zm00001d002631,B73
Zm00001d002632,B73
Zm00001d002639,B73
Zm00001d002640,B73
Zm00001d002642,B73
Zm00001d002644,B73
Zm00001d002649,B73
Zm00001d002650,B73
Zm00001d002654,B73
Zm00001d002656,B73
Zm00001d002658,B73
Zm00001d002659,B73
Zm00001d002661,B73
Zm00001d002662,B73
Zm00001d002663,B73
Zm00001d002668,B73
Zm00001d002669,B73
Zm00001d002671,B73
Zm00001d002673,B73
Zm00001d002675,B73
Zm00001d002676,B73
Zm00001d002677,B73
Zm00001d002678,B73
Zm00001d002679,B73
Zm00001d002680,B73
Zm00001d002682,B73
Zm00001d002684,B73
Zm00001d002685,B73
Zm00001d002687,B73
Zm00001d002688,B73
Zm00001d002690,B73
Zm00001d002694,B73
Zm00001d002695,B73
Zm00001d002696,B73
Zm00001d002699,B73
Zm00001d002700,B73
Zm00001d002703,B73
Zm00001d002704,B73
Zm00001d002707,B73
Zm00001d002708,B73
Zm00001d002711,B73
Zm00001d002713,B73
Zm00001d002714,B73
Zm00001d002715,B73
Zm00001d002716,B73
Zm00001d002718,B73
Zm00001d002720,B73
Zm00001d002721,B73
Zm00001d002723,B73
Zm00001d002724,B73
Zm00001d002725,B73
Zm00001d002726,B73
Zm00001d002727,B73
Zm00001d002729,B73
Zm00001d002730,B73
Zm00001d002731,B73
Zm00001d002732,B73
Zm00001d002733,B73
Zm00001d002734,B73
Zm00001d002736,B73
Zm00001d002738,B73
Zm00001d002739,B73
Zm00001d002741,B73
Zm00001d002742,B73
Zm00001d002743,B73
Zm00001d002747,B73
Zm00001d002750,B73
Zm00001d002751,B73
Zm00001d002754,B73
Zm00001d002755,B73
Zm00001d002756,B73
Zm00001d002757,B73
Zm00001d002758,B73
Zm00001d002759,B73
Zm00001d002768,B73
Zm00001d002770,B73
Zm00001d002772,B73
Zm00001d002773,B73
Zm00001d002774,B73
Zm00001d002775,B73
Zm00001d002776,B73
Zm00001d002778,B73
Zm00001d002781,B73
Zm00001d002782,B73
Zm00001d002783,B73
Zm00001d002784,B73
Zm00001d002787,B73
Zm00001d002788,B73
Zm00001d002789,B73
Zm00001d002790,B73
Zm00001d002791,B73
Zm00001d002794,B73
Zm00001d002796,B73
Zm00001d002797,B73
Zm00001d002798,B73
Zm00001d002799,B73
Zm00001d002801,B73
Zm00001d002802,B73
Zm00001d002803,B73
Zm00001d002806,B73
Zm00001d002810,B73
Zm00001d002811,B73
Zm00001d002812,B73
Zm00001d002814,B73
Zm00001d002815,B73
Zm00001d002816,B73
Zm00001d002817,B73
Zm00001d002819,B73
Zm00001d002820,B73
Zm00001d002821,B73
Zm00001d002822,B73
Zm00001d002823,B73
Zm00001d002824,B73
Zm00001d002825,B73
Zm00001d002826,B73
Zm00001d002827,B73
Zm00001d002828,B73
Zm00001d002829,B73
Zm00001d002830,B73
Zm00001d002833,B73
Zm00001d002834,B73
Zm00001d002835,B73
Zm00001d002836,B73
Zm00001d002837,B73
Zm00001d002842,B73
Zm00001d002843,B73
Zm00001d002844,B73
Zm00001d002848,B73
Zm00001d002849,B73
Zm00001d002850,B73
Zm00001d002851,B73
Zm00001d002853,B73
Zm00001d002854,B73
Zm00001d002856,B73
Zm00001d002857,B73
Zm00001d002859,B73
Zm00001d002864,B73
Zm00001d002865,B73
Zm00001d002867,B73
Zm00001d002868,B73
Zm00001d002869,B73
Zm00001d002871,B73
Zm00001d002872,B73
Zm00001d002873,B73
Zm00001d002874,B73
Zm00001d002876,B73
Zm00001d002878,B73
Zm00001d002880,B73
Zm00001d002881,B73
Zm00001d002882,B73
Zm00001d002884,B73
Zm00001d002888,B73
Zm00001d002889,B73
Zm00001d002890,B73
Zm00001d002891,B73
Zm00001d002893,B73
Zm00001d002896,B73
Zm00001d002897,B73
Zm00001d002899,B73
Zm00001d002904,B73
Zm00001d002906,B73
Zm00001d002917,B73
Zm00001d002919,B73
Zm00001d002925,B73
Zm00001d002928,B73
Zm00001d002929,B73
Zm00001d002933,B73
Zm00001d002934,B73
Zm00001d002936,B73
Zm00001d002938,B73
Zm00001d002939,B73
Zm00001d002940,B73
Zm00001d002941,B73
Zm00001d002943,B73
Zm00001d002943,B73
Zm00001d002943,B73
Zm00001d002944,B73
Zm00001d002945,B73
Zm00001d002946,B73
Zm00001d002950,B73
Zm00001d002952,B73
Zm00001d002953,B73
Zm00001d002954,B73
Zm00001d002955,B73
Zm00001d002956,B73
Zm00001d002958,B73
Zm00001d002959,B73
Zm00001d002960,B73
Zm00001d002961,B73
Zm00001d002962,B73
Zm00001d002965,B73
Zm00001d002966,B73
Zm00001d002967,B73
Zm00001d002968,B73
Zm00001d002969,B73
Zm00001d002970,B73
Zm00001d002971,B73
Zm00001d002972,B73
Zm00001d002974,B73
Zm00001d002979,B73
Zm00001d002980,B73
Zm00001d002982,B73
Zm00001d002989,B73
Zm00001d002990,B73
Zm00001d002992,B73
Zm00001d002993,B73
Zm00001d002996,B73
Zm00001d002999,B73
Zm00001d003002,B73
Zm00001d003003,B73
Zm00001d003004,B73
Zm00001d003005,B73
Zm00001d003006,B73
Zm00001d003007,B73
Zm00001d003009,B73
Zm00001d003011,B73
Zm00001d003012,B73
Zm00001d003013,B73
Zm00001d003014,B73
Zm00001d003016,B73
Zm00001d003017,B73
Zm00001d003018,B73
Zm00001d003019,B73
Zm00001d003020,B73
Zm00001d003025,B73
Zm00001d003031,B73
Zm00001d003033,B73
Zm00001d003034,B73
Zm00001d003037,B73
Zm00001d003038,B73
Zm00001d003039,B73
Zm00001d003040,B73
Zm00001d003041,B73
Zm00001d003044,B73
Zm00001d003047,B73
Zm00001d003048,B73
Zm00001d003049,B73
Zm00001d003050,B73
Zm00001d003051,B73
Zm00001d003052,B73
Zm00001d003057,B73
Zm00001d003059,B73
Zm00001d003060,B73
Zm00001d003062,B73
Zm00001d003064,B73
Zm00001d003066,B73
Zm00001d003068,B73
Zm00001d003071,B73
Zm00001d003072,B73
Zm00001d003076,B73
Zm00001d003079,B73
Zm00001d003080,B73
Zm00001d003081,B73
Zm00001d003083,B73
Zm00001d003084,B73
Zm00001d003085,B73
Zm00001d003086,B73
Zm00001d003087,B73
Zm00001d003088,B73
Zm00001d003089,B73
Zm00001d003091,B73
Zm00001d003099,B73
Zm00001d003101,B73
Zm00001d003102,B73
Zm00001d003103,B73
Zm00001d003104,B73
Zm00001d003106,B73
Zm00001d003107,B73
Zm00001d003108,B73
Zm00001d003109,B73
Zm00001d003110,B73
Zm00001d003112,B73
Zm00001d003114,B73
Zm00001d003116,B73
Zm00001d003118,B73
Zm00001d003119,B73
Zm00001d003121,B73
Zm00001d003123,B73
Zm00001d003124,B73
Zm00001d003125,B73
Zm00001d003127,B73
Zm00001d003129,B73
Zm00001d003139,B73
Zm00001d003140,B73
Zm00001d003147,B73
Zm00001d003148,B73
Zm00001d003149,B73
Zm00001d003155,B73
Zm00001d003157,B73
Zm00001d003160,B73
Zm00001d003161,B73
Zm00001d003162,B73
Zm00001d003164,B73
Zm00001d003166,B73
Zm00001d003167,B73
Zm00001d003172,B73
Zm00001d003174,B73
Zm00001d003175,B73
Zm00001d003176,B73
Zm00001d003179,B73
Zm00001d003180,B73
Zm00001d003181,B73
Zm00001d003182,B73
Zm00001d003187,B73
Zm00001d003188,B73
Zm00001d003193,B73
Zm00001d003195,B73
Zm00001d003196,B73
Zm00001d003197,B73
Zm00001d003198,B73
Zm00001d003200,B73
Zm00001d003203,B73
Zm00001d003207,B73
Zm00001d003208,B73
Zm00001d003212,B73
Zm00001d003213,B73
Zm00001d003214,B73
Zm00001d003217,B73
Zm00001d003220,B73
Zm00001d003222,B73
Zm00001d003223,B73
Zm00001d003224,B73
Zm00001d003226,B73
Zm00001d003227,B73
Zm00001d003228,B73
Zm00001d003229,B73
Zm00001d003242,B73
Zm00001d003245,B73
Zm00001d003246,B73
Zm00001d003247,B73
Zm00001d003248,B73
Zm00001d003249,B73
Zm00001d003250,B73
Zm00001d003251,B73
Zm00001d003252,B73
Zm00001d003254,B73
Zm00001d003256,B73
Zm00001d003257,B73
Zm00001d003258,B73
Zm00001d003259,B73
Zm00001d003261,B73
Zm00001d003262,B73
Zm00001d003264,B73
Zm00001d003265,B73
Zm00001d003266,B73
Zm00001d003268,B73
Zm00001d003269,B73
Zm00001d003271,B73
Zm00001d003272,B73
Zm00001d003274,B73
Zm00001d003275,B73
Zm00001d003276,B73
Zm00001d003277,B73
Zm00001d003281,B73
Zm00001d003283,B73
Zm00001d003284,B73
Zm00001d003287,B73
Zm00001d003288,B73
Zm00001d003291,B73
Zm00001d003292,B73
Zm00001d003293,B73
Zm00001d003294,B73
Zm00001d003296,B73
Zm00001d003297,B73
Zm00001d003300,B73
Zm00001d003301,B73
Zm00001d003302,B73
Zm00001d003308,B73
Zm00001d003309,B73
Zm00001d003310,B73
Zm00001d003310,B73
Zm00001d003311,B73
Zm00001d003313,B73
Zm00001d003314,B73
Zm00001d003315,B73
Zm00001d003317,B73
Zm00001d003319,B73
Zm00001d003320,B73
Zm00001d003321,B73
Zm00001d003322,B73
Zm00001d003328,B73
Zm00001d003329,B73
Zm00001d003331,B73
Zm00001d003333,B73
Zm00001d003334,B73
Zm00001d003342,B73
Zm00001d003343,B73
Zm00001d003345,B73
Zm00001d003346,B73
Zm00001d003347,B73
Zm00001d003349,B73
Zm00001d003352,B73
Zm00001d003354,B73
Zm00001d003356,B73
Zm00001d003365,B73
Zm00001d003368,B73
Zm00001d003369,B73
Zm00001d003370,B73
Zm00001d003372,B73
Zm00001d003373,B73
Zm00001d003375,B73
Zm00001d003376,B73
Zm00001d003377,B73
Zm00001d003378,B73
Zm00001d003379,B73
Zm00001d003380,B73
Zm00001d003381,B73
Zm00001d003382,B73
Zm00001d003386,B73
Zm00001d003392,B73
Zm00001d003393,B73
Zm00001d003394,B73
Zm00001d003395,B73
Zm00001d003397,B73
Zm00001d003398,B73
Zm00001d003399,B73
Zm00001d003400,B73
Zm00001d003401,B73
Zm00001d003403,B73
Zm00001d003404,B73
Zm00001d003405,B73
Zm00001d003406,B73
Zm00001d003408,B73
Zm00001d003411,B73
Zm00001d003412,B73
Zm00001d003414,B73
Zm00001d003415,B73
Zm00001d003417,B73
Zm00001d003418,B73
Zm00001d003420,B73
Zm00001d003422,B73
Zm00001d003423,B73
Zm00001d003425,B73
Zm00001d003426,B73
Zm00001d003427,B73
Zm00001d003428,B73
Zm00001d003429,B73
Zm00001d003430,B73
Zm00001d003431,B73
Zm00001d003432,B73
Zm00001d003436,B73
Zm00001d003438,B73
Zm00001d003446,B73
Zm00001d003447,B73
Zm00001d003448,B73
Zm00001d003451,B73
Zm00001d003457,B73
Zm00001d003459,B73
Zm00001d003460,B73
Zm00001d003462,B73
Zm00001d003463,B73
Zm00001d003464,B73
Zm00001d003468,B73
Zm00001d003469,B73
Zm00001d003470,B73
Zm00001d003471,B73
Zm00001d003476,B73
Zm00001d003477,B73
Zm00001d003482,B73
Zm00001d003485,B73
Zm00001d003488,B73
Zm00001d003491,B73
Zm00001d003492,B73
Zm00001d003493,B73
Zm00001d003495,B73
Zm00001d003499,B73
Zm00001d003500,B73
Zm00001d003502,B73
Zm00001d003504,B73
Zm00001d003505,B73
Zm00001d003508,B73
Zm00001d003509,B73
Zm00001d003510,B73
Zm00001d003511,B73
Zm00001d003512,B73
Zm00001d003514,B73
Zm00001d003515,B73
Zm00001d003518,B73
Zm00001d003520,B73
Zm00001d003521,B73
Zm00001d003522,B73
Zm00001d003524,B73
Zm00001d003525,B73
Zm00001d003530,B73
Zm00001d003531,B73
Zm00001d003533,B73
Zm00001d003534,B73
Zm00001d003535,B73
Zm00001d003538,B73
Zm00001d003539,B73
Zm00001d003540,B73
Zm00001d003543,B73
Zm00001d003544,B73
Zm00001d003545,B73
Zm00001d003546,B73
Zm00001d003549,B73
Zm00001d003550,B73
Zm00001d003552,B73
Zm00001d003553,B73
Zm00001d003554,B73
Zm00001d003555,B73
Zm00001d003556,B73
Zm00001d003559,B73
Zm00001d003563,B73
Zm00001d003566,B73
Zm00001d003569,B73
Zm00001d003572,B73
Zm00001d003573,B73
Zm00001d003575,B73
Zm00001d003583,B73
Zm00001d003584,B73
Zm00001d003588,B73
Zm00001d003589,B73
Zm00001d003590,B73
Zm00001d003593,B73
Zm00001d003594,B73
Zm00001d003598,B73
Zm00001d003599,B73
Zm00001d003600,B73
Zm00001d003601,B73
Zm00001d003602,B73
Zm00001d003603,B73
Zm00001d003604,B73
Zm00001d003605,B73
Zm00001d003606,B73
Zm00001d003611,B73
Zm00001d003612,B73
Zm00001d003614,B73
Zm00001d003615,B73
Zm00001d003616,B73
Zm00001d003617,B73
Zm00001d003618,B73
Zm00001d003621,B73
Zm00001d003621,B73
Zm00001d003622,B73
Zm00001d003624,B73
Zm00001d003626,B73
